id,title,rating,votes,revenue (millions),metascore
1,guardians of the galaxy,8.1,757074,333.13,76.0
2,prometheus,7.0,485820,126.46,65.0
3,split,7.3,157606,138.12,62.0
4,sing,7.2,60545,270.32,59.0
5,suicide squad,6.2,393727,325.02,40.0
6,the great wall,6.1,56036,45.13,42.0
7,la la land,8.3,258682,151.06,93.0
9,the lost city of z,7.1,7188,8.01,78.0
10,passengers,7.0,192177,100.01,41.0
11,fantastic beasts and where to find them,7.5,232072,234.02,66.0
12,hidden figures,7.8,93103,169.27,74.0
13,rogue one,7.9,323118,532.17,65.0
14,moana,7.7,118151,248.75,81.0
15,colossal,6.4,8612,2.87,70.0
16,the secret life of pets,6.6,120259,368.31,61.0
17,hacksaw ridge,8.2,211760,67.12,71.0
18,jason bourne,6.7,150823,162.16,58.0
19,lion,8.1,102061,51.69,69.0
20,arrival,8.0,340798,100.5,81.0
21,gold,6.7,19053,7.22,49.0
22,manchester by the sea,7.9,134213,47.7,96.0
24,trolls,6.5,38552,153.69,56.0
25,independence day: resurgence,5.3,127553,103.14,32.0
29,bad moms,6.2,66540,113.08,60.0
30,assassin's creed,5.9,112813,54.65,36.0
31,why him?,6.3,48123,60.31,39.0
32,nocturnal animals,7.5,126030,10.64,67.0
33,x-men: apocalypse,7.1,275510,155.33,52.0
34,deadpool,8.0,627797,363.02,65.0
35,resident evil: the final chapter,5.6,46165,26.84,49.0
36,captain america: civil war,7.9,411656,408.08,75.0
37,interstellar,8.6,1047747,187.99,74.0
38,doctor strange,7.6,293732,232.6,72.0
39,the magnificent seven,6.9,122853,93.38,54.0
41,sausage party,6.3,120690,97.66,66.0
42,moonlight,7.5,135095,27.85,99.0
44,the founder,7.2,37033,12.79,66.0
45,lowriders,6.3,279,4.21,57.0
46,pirates of the caribbean: on stranger tides,6.7,395025,241.06,45.0
47,miss sloane,7.3,17818,3.44,64.0
49,star trek beyond,7.1,164567,158.8,68.0
51,star wars: episode vii - the force awakens,8.1,661608,936.63,81.0
52,underworld: blood wars,5.8,41362,30.35,23.0
53,mother's day,5.6,20221,32.46,18.0
54,john wick,7.2,321933,43.0,68.0
55,the dark knight,9.0,1791916,533.32,82.0
56,silence,7.3,49190,7.08,79.0
57,don't breathe,7.2,121103,89.21,71.0
58,me before you,7.4,113322,56.23,51.0
59,their finest,7.0,3739,3.18,76.0
60,sully,7.5,137608,125.07,74.0
61,batman v superman: dawn of justice,6.7,472307,330.25,44.0
63,the girl on the train,6.5,102177,75.31,48.0
64,fifty shades of grey,4.1,244474,166.15,46.0
65,the prestige,8.5,913152,53.08,66.0
66,kingsman: the secret service,7.7,440209,128.25,58.0
67,patriots day,7.4,39784,31.86,69.0
68,mad max: fury road,8.1,632842,153.63,90.0
69,wakefield,7.5,291,0.01,61.0
70,deepwater horizon,7.2,89849,61.28,68.0
72,allied,7.1,78079,40.07,60.0
73,a monster calls,7.5,39134,3.73,76.0
74,collateral beauty,6.8,43977,30.98,23.0
75,zootopia,8.1,296853,341.26,78.0
76,pirates of the caribbean: at world's end,7.1,498821,309.4,50.0
77,the avengers,8.1,1045588,623.28,69.0
78,inglourious basterds,8.3,959065,120.52,69.0
79,pirates of the caribbean: dead man's chest,7.3,552027,423.03,53.0
80,ghostbusters,5.3,147717,128.34,60.0
81,inception,8.8,1583625,292.57,74.0
82,captain fantastic,7.9,105081,5.88,72.0
83,the wolf of wall street,8.2,865134,116.87,75.0
84,gone girl,8.1,636243,167.74,79.0
85,furious seven,7.2,301249,350.03,67.0
86,jurassic world,7.0,455169,652.18,59.0
87,live by night,6.4,27869,10.38,49.0
88,avatar,7.8,935408,760.51,83.0
89,the hateful eight,7.8,341170,54.12,68.0
90,the accountant,7.4,162122,86.2,51.0
91,prisoners,8.1,431185,60.96,74.0
92,warcraft,7.0,187547,47.17,32.0
93,the help,8.1,342429,169.71,62.0
94,war dogs,7.1,106463,43.02,57.0
95,avengers: age of ultron,7.4,516895,458.99,66.0
96,the nice guys,7.4,175067,36.25,70.0
97,kimi no na wa,8.6,34110,4.68,79.0
98,the void,5.8,9247,0.15,62.0
99,personal shopper,6.3,10181,1.29,77.0
100,the departed,8.5,937414,132.37,85.0
101,legend,7.0,108836,1.87,55.0
102,thor,7.0,570814,181.02,57.0
103,the martian,8.0,556097,228.43,80.0
